PROVINCIA;LOCALIDAD;CEM - CCD - EP;LUGAR DE HALLAZGO;HOJA DE REFERENCIA;Lat;Long;Suma de CASOS;Suma de EXHUMADOS;Suma de ID CON CUERPO;Suma de ID SIN CUERPO;Suma de ID;Suma de NO ID
Santiago del Estero;Clodomira;CEM;Cementerio La Esperanza;Santiago_del_Estero-Clodomira;-27.50513574145413;-64.13573135886301;1;1;1;0;1;0
Santiago del Estero;Pozo Hondo;CEM;Cementerio de Pozo Hondo;Santiago_del_Estero-Pozo_Hondo;-27.173623277909467;-64.49109888589922;1;1;1;0;1;0
Santiago del Estero;Villa La Punta;CEM;Cementerio San Gabriel;Santiago_del_Estero-Villa_la_Punta;-28.378284004164605;-64.79254867028821;1;1;0;0;0;1
Tucumán;Choromoro;CEM;Cementerio de Choromoro;Tucumán_Choromoro;-26.440268130825935;-65.30771788985797;2;2;1;0;1;1
Tucumán;Las Talitas;CCD;Ex CCD Arsenal Miguel de Azcuénaga;Tucumán-CCD_Arsenales;-26.77106796629999;-65.21577755334052;14;14;14;0;14;0
Tucumán;San Miguel de Tucumán;CEM;Cementerio Norte;Tucumán-Cementerio_Norte;-26.80477202872087;-65.18869054567071;73;69;8;4;12;61
Tucumán;Simoca;EP;Margen del río Medina;Tucumán-Río_Medina;-27.5190169257508;-65.20951336886576;11;11;0;0;0;11
Tucumán;Tacanas;CEM;Cementerio de Tacanas;Tucumán-Tacanas;-27.13301399599374;-64.81513799155498;4;4;3;0;3;1
Tucumán;Tafí Viejo;EP;Pozo de Vargas;Tucumán-Pozo_de_Vargas;-26.783902525232268;-65.24984820556912;149;149;121;0;121;28
Uruguay;Colonia del Sacramento;CEM;Cementerio de Colonia del Sacramento;Uruguay-Colonia;-34.47070112977278;-57.83637195347989;8;8;5;0;5;3
Uruguay;Montevideo;CEM;Cementerio Parque del Norte;Uruguay-Cementerio_del_Norte;-34.84572367413997;-56.17609150384375;1;0;0;1;1;0
Uruguay;Rocha;CEM;Cementerio de Rocha;Uruguay-Rocha;-34.49262562752319;-54.32912689368437;3;1;1;2;3;0
